Time,Fx,Fy,Fz,F,Mx,My,Mz
[s],[N],[N],[N],[N],[Nm],[Nm],[Nm]
0,42.16,-138.57,10.12,145.19,0.29,0.02,-0.4
0.009,41.1,-136.74,9.8,143.12,0.3,0.02,-0.39
0.017,40.06,-134.51,9.03,140.64,0.31,0.02,-0.4
0.025,40.01,-132.69,9.24,138.9,0.32,0.02,-0.4
0.033,38.28,-129.84,8.02,135.6,0.32,0.04,-0.41
0.041,37.89,-128.19,8.83,133.97,0.33,0.04,-0.42
0.049,39.09,-127.73,11.18,134.05,0.34,0.02,-0.42
0.058,37.59,-125.19,10.58,131.14,0.35,0.03,-0.42
0.066,36.82,-123.66,10.28,129.44,0.36,0.04,-0.43
0.074,35.98,-122.22,10.5,127.84,0.38,0.04,-0.43
0.082,36.16,-121.89,12.06,127.71,0.39,0.02,-0.43
0.09,36.3,-120.9,12.73,126.87,0.4,0.01,-0.43
0.099,35.78,-120.45,13.28,126.35,0.41,-0.01,-0.42
0.107,35.88,-119.21,14.16,125.29,0.42,-0.01,-0.42
0.115,35.41,-116.46,13.6,122.48,0.42,0,-0.43
0.123,35.27,-114.49,13.96,120.61,0.43,0,-0.43
0.131,35.92,-113.39,15.55,119.96,0.43,-0.01,-0.43
0.14,35.24,-110.83,15.4,117.32,0.43,0,-0.42
0.148,34.72,-108.47,15.57,114.95,0.44,0.01,-0.42
0.156,32.68,-105.29,13.97,111.13,0.44,0.04,-0.43
0.164,30.46,-102.4,12.57,107.57,0.44,0.06,-0.42
0.172,29.12,-99.67,11.62,104.48,0.44,0.08,-0.42
0.181,27.83,-97.1,10.29,101.53,0.43,0.1,-0.42
0.189,27.12,-95.72,9.72,99.96,0.43,0.1,-0.42
0.197,26,-94.24,8.48,98.13,0.43,0.12,-0.41
0.205,25.9,-92.98,7.97,96.85,0.43,0.13,-0.42
0.214,26.52,-93.12,8.88,97.23,0.43,0.12,-0.41
0.222,27.56,-93.79,10.03,98.27,0.43,0.11,-0.41
0.23,28.38,-94.88,10.84,99.63,0.42,0.1,-0.41
0.238,29.43,-96.86,12.09,101.95,0.42,0.08,-0.39
0.246,31.62,-100,14.45,105.87,0.42,0.05,-0.38
0.255,34.02,-103.7,17.31,110.51,0.41,0.02,-0.36
0.263,34.74,-106.93,18.63,113.96,0.41,0,-0.33
0.271,34.67,-109.24,18.89,116.15,0.4,-0.01,-0.31
0.279,33.9,-110.97,18.27,117.46,0.4,-0.01,-0.3
0.287,32.09,-112.06,16.56,117.73,0.39,0,-0.28
0.296,32.04,-114.7,16.57,120.24,0.39,-0.01,-0.27
0.304,32.49,-117.47,16.95,123.05,0.38,-0.02,-0.26
0.312,33.44,-120.71,17.31,126.45,0.37,-0.04,-0.26
0.32,34.69,-124.19,18.22,130.23,0.37,-0.06,-0.25
0.328,35.94,-126.86,18.66,133.17,0.35,-0.06,-0.25
0.337,35.82,-128.52,17.44,134.55,0.34,-0.05,-0.26
0.345,36.4,-129.83,17.36,135.95,0.33,-0.03,-0.27
0.353,38.82,-132.72,18.73,139.54,0.32,-0.04,-0.27
0.361,40.93,-135.06,19.73,142.5,0.32,-0.03,-0.27
0.369,42.61,-137.34,20.27,145.22,0.31,-0.02,-0.26
0.377,43.34,-139.11,19.48,147.01,0.32,-0.01,-0.25
0.386,44.1,-139.96,18.29,147.87,0.32,0.03,-0.23
0.394,46.2,-142.68,19.13,151.19,0.33,0.04,-0.21
0.402,47.19,-144.49,18.61,153.14,0.34,0.06,-0.18
0.41,48.93,-146.02,18.23,155.07,0.35,0.08,-0.14
0.418,51.2,-149.51,19.57,159.24,0.37,0.08,-0.1
0.426,54.65,-151.75,21.79,162.76,0.39,0.08,-0.07
0.434,56.65,-154.03,22.82,165.7,0.4,0.09,-0.03
0.442,57.21,-155.37,22.77,167.13,0.42,0.1,0
0.451,58.87,-157.66,24.47,170.07,0.43,0.09,0.03
0.459,58.85,-158.11,23.75,170.37,0.45,0.11,0.06
0.467,58.37,-158.16,22.93,170.14,0.47,0.13,0.08
0.475,59.06,-158.39,23.14,170.62,0.48,0.14,0.1
0.483,59.73,-159.5,23.33,171.91,0.49,0.14,0.13
0.491,60.1,-161.21,23.61,173.66,0.51,0.12,0.17
0.499,61.49,-162.53,25.07,175.58,0.52,0.12,0.19
0.507,62.64,-163.84,26.07,177.34,0.53,0.11,0.22
0.515,63.06,-165.46,27.06,179.13,0.54,0.1,0.24
0.524,63.18,-166.66,27.89,180.4,0.54,0.09,0.25
0.532,63.09,-166.94,28.13,180.67,0.55,0.08,0.26
0.54,62.49,-166.21,27.69,179.71,0.55,0.09,0.25
0.548,61.93,-164.69,27.08,178.02,0.55,0.1,0.24
0.556,61.34,-162.39,26.18,175.56,0.55,0.11,0.22
0.564,60.31,-159.66,24.96,172.49,0.55,0.13,0.2
0.572,58.98,-156.87,23.28,169.2,0.55,0.15,0.17
0.58,57.52,-155.2,21.58,166.92,0.56,0.15,0.15
0.588,57.01,-152.76,21.11,164.41,0.56,0.15,0.12
0.596,55.71,-150.26,20.44,161.55,0.57,0.16,0.08
0.605,53.78,-148.32,20.22,159.06,0.57,0.16,0.05
0.613,51.48,-145.9,19.73,155.97,0.58,0.16,0
0.621,49.6,-142.82,19.48,152.44,0.58,0.16,-0.06
0.629,48.99,-140.86,20.43,150.53,0.57,0.14,-0.11
0.637,48.76,-139.21,22.15,149.16,0.57,0.12,-0.16
0.645,48.58,-138.91,23.76,149.07,0.57,0.09,-0.19
0.653,47.59,-136.68,24.54,146.79,0.55,0.09,-0.24
0.662,47.11,-136.14,25.67,146.33,0.54,0.06,-0.26
0.67,46.24,-135.71,25.75,145.66,0.53,0.04,-0.28
0.678,45.78,-135.01,26.6,145.02,0.51,0.02,-0.29
0.686,44.37,-134.45,25.38,143.84,0.49,0,-0.29
0.694,43.75,-134.42,25.94,143.72,0.46,-0.02,-0.29
